disp_order,item_id,start_date,end_date,id,item_num,item_text,mission_text
1,98,2021/02/24,2021/09/30 4:59:59,100000,100,好友积分,【日常任务①】\n在养成的赛事中赢得胜利
2,110,2021/02/24,2021/09/30 4:59:59,100001,300,协助积分,【日常任务②】\n参与日常赛事
4,59,2021/02/24,2021/09/30 4:59:59,100002,1000,金币,【日常任务④】\n参与团队竞技场
7,43,2021/02/24,2021/09/30 4:59:59,100005,10,宝石,【日常任务⑤】\n完成1次养成
8,43,2021/02/24,2021/09/30 4:59:59,100006,20,宝石,完成\n日常任务①-⑤
3,110,2021/02/24,2021/09/30 4:59:59,100007,500,协助积分,【日常任务③】参与3次日常赛事
1,98,2021/09/30 5:00:00,2050/01/01 4:59:59,100010,100,好友积分,【日常任务①】\n在养成的赛事中赢得胜利
2,98,2021/09/30 5:00:00,2050/01/01 4:59:59,100011,200,好友积分,【日常任务②】\n参与日常赛事
4,59,2021/09/30 5:00:00,2050/01/01 4:59:59,100012,2400,金币,【日常任务④】\n参与团队竞技场
7,43,2021/09/30 5:00:00,2050/01/01 4:59:59,100015,20,宝石,【日常任务⑤】\n完成1次养成
8,43,2021/09/30 5:00:00,2050/01/01 4:59:59,100016,30,宝石,完成\n日常任务①-⑤
3,59,2021/09/30 5:00:00,2050/01/01 4:59:59,100017,1400,金币,【日常任务③】参与3次日常赛事
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301000,30,宝石,完成1次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301001,30,宝石,完成2次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301002,30,宝石,完成3次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301003,30,宝石,完成4次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301004,30,宝石,完成5次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301005,30,宝石,完成10次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301006,30,宝石,完成15次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301007,30,宝石,完成20次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301008,30,宝石,完成25次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301009,30,宝石,完成30次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301010,30,宝石,完成35次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301011,30,宝石,完成40次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301012,30,宝石,完成45次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301013,50,宝石,完成50次养成
29,43,2017/07/01 1:00:00,2050/01/01 4:59:59,301014,50,宝石,完成60次养成
