Login Bonus ID,Item Name,Item Num,Start Date,End Date
30019,宝石,150,2021/12/27 12:00:00,2021/12/28 4:59:59
30020,宝石,150,2021/12/28 5:00:00,2021/12/29 4:59:59
30021,宝石,150,2021/12/29 5:00:00,2021/12/30 4:59:59
30022,宝石,150,2021/12/30 5:00:00,2021/12/31 4:59:59
30023,宝石,150,2021/12/31 5:00:00,2022/1/1 4:59:59
10001,宝石,20,2021/2/24 05:00:00,2099/12/31 23:59:59
10001,社团积分,30,2021/2/24 05:00:00,2099/12/31 23:59:59
10001,宝石,20,2021/2/24 05:00:00,2099/12/31 23:59:59
10001,金币,1000,2021/2/24 05:00:00,2099/12/31 23:59:59
10001,宝石,20,2021/2/24 05:00:00,2099/12/31 23:59:59
10001,好友积分,100,2021/2/24 05:00:00,2099/12/31 23:59:59
10001,宝石,50,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
20001,宝石,150,2021/2/24 05:00:00,2099/12/31 23:59:59
30001,宝石,1500,2021/2/24 05:00:00,2021/6/1 4:59:59
30002,宝石,300,2021/2/24 05:00:00,2021/3/2 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30008,宝石,150,2021/3/11 12:00:00,2021/6/1 4:59:59
30005,宝石,300,2021/3/16  5:00:00,2021/3/23 4:59:59
30003,宝石,300,2021/3/2  5:00:00,2021/3/9 4:59:59
30006,宝石,300,2021/3/23  5:00:00,2021/3/30 4:59:59
30007,宝石,300,2021/3/30  5:00:00,2021/4/6 4:59:59
30004,宝石,300,2021/3/9  5:00:00,2021/3/16 4:59:59
30009,宝石,564,2021/4/30 12:00:00,2021/5/15 4:59:59
30009,宝石,564,2021/4/30 12:00:00,2021/5/15 4:59:59
30009,宝石,564,2021/4/30 12:00:00,2021/5/15 4:59:59
