id,category,index,text
1,1,101,当前处于维护中\n请稍作等待\n详情请查看官网公告
1,1,201,由于长时间内未进行操作，\n或与服务器的连接发生中断，\n即将返回游戏标题页面
1,1,204,检测到新版本\n请到应用商店进行下载
1,1,207,包含禁用文字或字符
1,1,214,检测到新的数据\n即将返回标题页面
1,1,217,发生了连接冲突错误\n即将返回标题页面
1,1,218,別の端末からログインされたため、タイトルに戻ります
1,1,303,购买时发生错误\n错误代码：303
1,1,304,已达本月消费额度上限，无法购买
1,1,306,购买时发生错误\n错误代码：306
1,1,308,购买时发生错误\n错误代码：308
1,1,309,该出生年月无法设置
1,1,310,该出生日期无法设置
1,1,311,已达购买次数上限，无法继续购买
1,1,312,该项目不在可购买期间
1,1,329,本月的购买金额已超出￥500\n是否继续购买？
1,1,331,您所在的平台无法使用\n兑换码功能。
1,1,332,检测到您在短时间内出现多次序列号输入错误，\n目前已暂时限制您的输入序列号功能\n请您静候解除限制
1,1,334,可领取的特典已达上限
1,1,335,该兑换码不在\n可使用期间内
1,1,336,连接中出现错误
1,1,337,已检测到未经运营方确认的\n取消购买宝石的情况。\n\n如继续此操作\n部分功能可能会受到限制
1,1,338,由于未经运营方确认的\n取消购买宝石操作持续发生\n该账号已被限制购买宝石
1,1,339,无法正确获取您正在购买的\n宝石价格信息\n请稍等片刻后再次尝试购买
1,1,706,DMM验证码已过期\n请登录DMM游戏账号\n并重新启动游戏
1,1,708,連携されているゲームデータが存在しません\nタイトルに戻ります
1,1,803,{0}の購入を検知しましたが\n他のアカウントで有効になっているため\n特典の付与を完了できませんでした
1,1,805,ウマスクの更新情報の取得に失敗しました\nしばらく時間をおいてもウマスクが更新されていない場合は\nお問い合わせください
1,1,806,ウマスクの更新情報の取得に失敗しました\nしばらく時間をおいてもウマスクが更新されていない場合は\nお問い合わせください
1,1,807,エラーが発生しました\nエラーコード：807
1,1,808,エラーが発生しました\nエラーコード：808
1,1,809,{0}の購入を検知しましたが\n年齢確認ができていません\n[ジュエル購入]より年齢確認をしてください
1,1,810,{0}の購入を検知しましたが\n課金上限額に達しているため\n特典の付与を完了できませんでした
1,1,901,此功能维护中
1,1,902,此功能维护中
1,1,903,此功能维护中
1,1,904,购买宝石功能维护中
1,1,905,购买宝石功能维护中
1,1,906,购买宝石功能维护中
1,1,907,此功能维护中
1,1,908,此功能维护中
1,1,909,此功能维护中
1,1,910,此功能维护中
1,1,911,此功能维护中
1,1,912,此功能维护中
1,1,913,此功能维护中
1,1,914,此功能维护中
1,1,915,此功能维护中
1,1,916,此功能维护中
1,1,917,此功能维护中
1,1,918,此功能维护中
1,1,919,此功能维护中
1,1,920,此功能维护中
1,1,921,此功能维护中
1,1,922,此功能维护中
1,1,923,此功能维护中
1,1,924,此功能维护中
1,1,925,此功能维护中
1,1,926,此功能维护中
1,1,927,此功能维护中
1,1,928,此功能维护中
1,1,929,此功能维护中
1,1,930,此功能维护中
1,1,931,此功能维护中
1,1,932,此功能维护中
1,1,933,此功能维护中
1,1,934,此功能维护中
1,1,935,购买宝石功能维护中
1,1,936,此功能维护中
1,1,937,此功能维护中
1,1,938,此功能维护中
1,1,939,此功能维护中
1,1,940,此功能维护中
1,1,941,此功能维护中
1,1,942,此功能维护中
1,1,943,此功能维护中
1,1,944,此功能维护中
1,1,945,此功能维护中
1,1,946,此功能维护中
1,1,947,此功能维护中
1,1,948,此功能维护中
1,1,949,此功能维护中
1,1,950,此功能维护中
1,1,951,此功能维护中
1,1,952,此功能维护中
1,1,953,此功能维护中
1,1,954,此功能维护中
1,1,955,此功能维护中
1,1,956,此功能维护中
1,1,957,此功能维护中
1,1,958,此功能维护中
1,1,959,此功能维护中
1,1,960,此功能维护中
1,1,961,此功能维护中
1,1,965,此功能维护中
1,1,967,iCloud备份的数据继承功能\n目前正在维护\n\n如需继续游戏，请在设备的[设置]中\n将iCloud备份设置为“关”
1,1,970,この機能はメンテナンス中です
1,1,971,この機能はメンテナンス中です
1,1,973,この機能はメンテナンス中です
1,1,974,この機能はメンテナンス中です
1,1,990,この機能はメンテナンス中です
1,1,991,この機能はメンテナンス中です
1,1,992,ジュエル/その他購入機能はメンテナンス中です
1,1,1056,该训练员账号不存在
